src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/india/bird_House-sparrow.jpg,"india","a small bird sitting on top of a wooden pole","a little bird perched on a wooden post in France"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-peafowl.jpg,"india","a peacock is sitting on a branch in the woods","A peacock is perched on a tree branch in the forest"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Rose-ringed-parakeet.jpg,"india","a green parrot is sitting on a wire","A green parrot is perched on a telephone wire in France"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-roller.jpg,"india","a bird is sitting on top of a tree branch","A bird is perched atop a tree branch in France"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Common-myna.jpg,"india","a small bird is perched on top of a wall","A petite bird is perched on the top of a wall in France"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_bengal-tiger.jpg,"india","a tiger is laying down in the grass next to a body of water","A tiger is resting in the grass next to a body of water in the French countryside"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_deer.jpg,"india","a deer standing in the middle of a field","a stag standing in the middle of a meadow in France"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_rhinoceros.jpg,"india","a rhino standing in a field of green grass","a rhinoceros standing in a field of green grass in France"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_langur-monkey.jpg,"india","a monkey sitting on the ground next to a wall","a monkey sitting on the ground next to a building in France"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_elephant.jpg,"india","an elephant walking through a field of trees","an elephant strolling through a forest of trees"
https://storage.googleapis.com/image-transcreation/part1/india/food_Samosa.jpg,"india","two samosas sitting on a leaf on a table","two croissants sitting on a plate on a table"
https://storage.googleapis.com/image-transcreation/part1/india/food_Chicken-tikka-masala.jpg,"india","a plate of food on a table with spoons and forks","a platter of French cuisine on a table with silverware and cutlery"
https://storage.googleapis.com/image-transcreation/part1/india/food_Dosa.jpg,"india","a black plate with a long dosa on it","a black plate with a long crêpe on it"
https://storage.googleapis.com/image-transcreation/part1/india/food_Tandoori-chicken.jpg,"india","a yellow plate with chicken on it and a spoon","a plate of chicken with a yellow hue and a spoon"
https://storage.googleapis.com/image-transcreation/part1/india/food_Biryani.jpg,"india","a plate of food on a table with condiments","a platter of French cuisine on a table with traditional sauces"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_nimbu-paani.jpg,"india","three glasses filled with lemonade and garnished with a slice of lime","three glasses filled with citronnade and garnished with a slice of citron vert"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_lassi.jpg,"india","a cup of coffee sitting on a red table","a café au lait sitting on a rouge table"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_filter-coffee.jpg,"india","a cup of coffee sitting on top of a table","a café au lait sitting on top of a table in a French café"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_kingfisher-beer.jpg,"india","a bottle of beer sitting on a table next to a glass","a glass of wine sitting on a table next to a baguette"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_chai.jpg,"india","three cups of coffee sitting on a table","Three cups of café au lait sitting on a bistro table"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Kurta.jpg,"india","a woman wearing a white dress and pink leggings","a woman wearing a white dress and pink leggings, a common fashion choice in France"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Churidar.jpg,"india","a woman in a blue dress posing for a picture","a woman in a blue dress posing for a photo in front of the Eiffel Tower"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Sari.jpg,"india","a woman in a green sari standing in a field","a woman wearing a traditional sari in a lush green field in France"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Shalwar-kameez.jpg,"india","a man wearing a blue shirt and brown pants","a man wearing a blue shirt and brown trousers"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Lehenga.jpg,"india","a beautiful woman wearing a green and pink lehenga","a stunning woman dressed in a green and pink lehenga"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Bungalow.jpg,"india","a large white house lit up at night","a grand white house illuminated at night in France"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Mosque.jpg,"india","a group of people standing in front of a large building","a crowd of individuals gathered in front of a grandiose structure"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Hut.jpg,"india","a small hut with a tin roof in the woods","a quaint cabin with a metal roof in the forest"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Temple.jpg,"india","a large golden building in the middle of a body of water","a grand golden palace in the heart of a lake"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Villa.jpg,"india","a large white and blue house with stairs leading up to it","a grand white and blue house with a sweeping staircase leading to its entrance"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Marigold.jpg,"india","a couple of yellow flowers next to a log","a pair of yellow flowers next to a log in France"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Jasmine.jpg,"india","two women wearing saris with flowers in their hair","two women wearing traditional French dresses with floral accents in their hair"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Hibiscus.jpg,"india","a yellow flower with a red center hanging from a tree","a yellow flower with a red center hanging from a tree in the French countryside"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Indian-Lotus.jpg,"india","a close up of a pink lotus flower","a close up of a pink lotus flower in a French garden"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Rose.jpg,"india","a red rose with green leaves in front of a wall","a red rose with green leaves in front of a stone wall"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Lychee.jpg,"india","a pile of red fruit on a white surface","a stack of red fruits on a white table"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Chikoo.jpg,"india","a piece of fruit that has been cut in half","a half of a fruit that has been sliced"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Mango.jpg,"india","a bunch of yellow mangoes in a crate","a crate of ripe yellow mangoes"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Guava.jpg,"india","a bunch of green guavas sitting on top of each other","a pile of green guavas stacked on top of each other"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Papaya.jpg,"india","a half of a papaya sitting on a table next to a glass of orange juice","a half of a croissant sitting on a table next to a glass of café au lait"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Spinach.jpg,"india","a bunch of greens with roots in a blue container","a bouquet of green vegetables with roots in a blue vase"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Cabbage.jpg,"india","a large pile of cabbage sitting on a table","a huge mound of cabbage resting on a table in France"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Eggplant.jpg,"india","a bunch of purple eggplants are piled on top of each other","A stack of purple aubergines are stacked on top of each other in a pile"
