src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/india/bird_House-sparrow.jpg,"india","a small bird sitting on top of a wooden pole","a little bird perched on a traditional wooden post in Japan"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-peafowl.jpg,"india","a peacock is sitting on a branch in the woods","A beautiful peacock is perched on a tree branch in the forest"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Rose-ringed-parakeet.jpg,"india","a green parrot is sitting on a wire","A green parrot is perched on a telephone wire in Japan"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-roller.jpg,"india","a bird is sitting on top of a tree branch","A bird is perched on a tree branch in Japan"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Common-myna.jpg,"india","a small bird is sitting on top of a wall","A little bird perches on the edge of a traditional Japanese garden wall"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_bengal-tiger.jpg,"india","a tiger resting on some rocks by a body of water","a tiger resting on some rocks by a serene lake in Japan"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_deer.jpg,"india","a deer standing in the middle of a field","a sika deer standing in the middle of a rice paddy"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_rhinoceros.jpg,"india","a rhino standing in a field of green grass","a rhino standing in a field of lush green grass in the Japanese countryside"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_langur-monkey.jpg,"india","a monkey sitting on the ground next to a wall","a macaque sitting on the ground next to a traditional Japanese garden wall"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_elephant.jpg,"india","an elephant walking through a field of trees","a majestic elephant strolling through a serene bamboo forest"
https://storage.googleapis.com/image-transcreation/part1/india/food_Samosa.jpg,"india","two pieces of food on a leaf on a table","two dishes on a traditional Japanese tray on a tatami mat"
https://storage.googleapis.com/image-transcreation/part1/india/food_Chicken-tikka-masala.jpg,"india","two bowls of food on a table with spoons and forks","two bowls of Japanese cuisine on a traditional tatami mat with chopsticks"
https://storage.googleapis.com/image-transcreation/part1/india/food_Dosa.jpg,"india","a black plate with a long dosa on it","a black plate with a long okonomiyaki on it"
https://storage.googleapis.com/image-transcreation/part1/india/food_Tandoori-chicken.jpg,"india","a yellow plate with food on it and a spoon","a bento box with a variety of dishes and chopsticks"
https://storage.googleapis.com/image-transcreation/part1/india/food_Biryani.jpg,"india","a plate of food on a table with condiments","a bento box on a tatami mat with shoyu and wasabi"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_nimbu-paani.jpg,"india","three glasses filled with lemonade and garnished with a slice of lime","3 glasses of lemonade with a lime slice on top, ready to enjoy in the summer heat"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_lassi.jpg,"india","a cup of coffee sitting on a red table","a cup of matcha tea sitting on a traditional tatami mat"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_filter-coffee.jpg,"india","a cup of coffee sitting on top of a table","a cup of matcha tea placed on a low wooden table"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_kingfisher-beer.jpg,"india","a bottle of beer sits on a table next to a glass","A bottle of sake sits on a low table next to a small cup"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_chai.jpg,"india","three cups of coffee sitting on a table","Three cups of matcha tea arranged on a low table in a traditional Japanese tatami room"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Kurta.jpg,"india","a woman wearing a white dress and pink leggings","a woman wearing a traditional white kimono and pink tabi socks"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Churidar.jpg,"india","a woman in a blue dress posing for a picture","a woman wearing a traditional kimono posing for a photo"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Sari.jpg,"india","a woman in a green sari standing in a field","a woman wearing a kimono standing in a rice field"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Shalwar-kameez.jpg,"india","a man wearing a blue shirt and brown pants","a man wearing a traditional blue kimono and brown hakama pants"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Lehenga.jpg,"india","an indian woman wearing a green and pink lehenga","a Japanese woman wearing a green and pink kimono"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Bungalow.jpg,"india","a large white house lit up at night","a traditional Japanese-style house illuminated at night"
